Property;Model;Best_Band;PLSR N Compnts;CC Train All;CC Test All;MSE Train All;MSE CV All;MSE Test All;R2 Train All;R2 CV All;R2 Test All;EV Train All;EV CV All;EV Test All;CC Train Band;CC Test Band;MSE Train Band;MSE CV Band;MSE Test Band;R2 Train Band;R2 CV Band;R2 Test Band;EV Train Band;EV CV Band;EV Test Band;CC Train PLSR;CC Test PLSR;MSE Train PLSR;MSE CV PLSR;MSE Test PLSR;R2 Train PLSR;R2 CV PLSR;R2 Test PLSR;EV Train PLSR;EV CV PLSR;EV Test PLSR
pH;LR;d1_621;2.0;1.0;0.452;0.0;20.31;3.279;1.0;-14.058;-1.409;1.0;-13.653;-1.409;0.719;0.694;0.668;0.673;0.71;0.517;0.511;0.479;0.517;0.516;0.479;0.705;0.694;0.695;0.715;0.714;0.498;0.479;0.476;0.498;0.481;0.479
pH;LR;d1_621;3.0;1.0;0.452;0.0;20.31;3.279;1.0;-14.058;-1.409;1.0;-13.653;-1.409;0.719;0.694;0.668;0.673;0.71;0.517;0.511;0.479;0.517;0.516;0.479;0.784;0.785;0.533;0.557;0.529;0.615;0.595;0.611;0.615;0.598;0.615
pH;LR;d1_621;4.0;1.0;0.452;0.0;20.31;3.279;1.0;-14.058;-1.409;1.0;-13.653;-1.409;0.719;0.694;0.668;0.673;0.71;0.517;0.511;0.479;0.517;0.516;0.479;0.809;0.824;0.477;0.507;0.439;0.655;0.631;0.678;0.655;0.635;0.679
pH;LR;d1_621;5.0;1.0;0.452;0.0;20.31;3.279;1.0;-14.058;-1.409;1.0;-13.653;-1.409;0.719;0.694;0.668;0.673;0.71;0.517;0.511;0.479;0.517;0.516;0.479;0.873;0.853;0.33;0.372;0.378;0.761;0.731;0.722;0.761;0.733;0.726
pH;LR;d1_621;6.0;1.0;0.452;0.0;20.31;3.279;1.0;-14.058;-1.409;1.0;-13.653;-1.409;0.719;0.694;0.668;0.673;0.71;0.517;0.511;0.479;0.517;0.516;0.479;0.9;0.865;0.262;0.306;0.347;0.81;0.779;0.745;0.81;0.781;0.747
OM;LR;d1_1913;2.0;0.998;0.1;0.029;1089.556;58.834;0.996;-142.81;-4.805;0.996;-142.06;-4.803;0.549;0.471;5.488;5.598;7.908;0.301;0.268;0.22;0.301;0.291;0.22;0.642;0.539;4.616;4.867;7.252;0.412;0.371;0.284;0.412;0.382;0.286
OM;LR;d1_1913;3.0;0.998;0.1;0.029;1089.556;58.834;0.996;-142.81;-4.805;0.996;-142.06;-4.803;0.549;0.471;5.488;5.598;7.908;0.301;0.268;0.22;0.301;0.291;0.22;0.686;0.565;4.158;4.419;7.004;0.47;0.423;0.309;0.47;0.435;0.309
OM;LR;d1_1913;4.0;0.998;0.1;0.029;1089.556;58.834;0.996;-142.81;-4.805;0.996;-142.06;-4.803;0.549;0.471;5.488;5.598;7.908;0.301;0.268;0.22;0.301;0.291;0.22;0.703;0.589;3.968;4.281;6.714;0.495;0.443;0.337;0.495;0.456;0.338
OM;LR;d1_1913;5.0;0.998;0.1;0.029;1089.556;58.834;0.996;-142.81;-4.805;0.996;-142.06;-4.803;0.549;0.471;5.488;5.598;7.908;0.301;0.268;0.22;0.301;0.291;0.22;0.734;0.604;3.623;4.087;6.563;0.539;0.464;0.352;0.539;0.476;0.353
OM;LR;d1_1913;6.0;0.998;0.1;0.029;1089.556;58.834;0.996;-142.81;-4.805;0.996;-142.06;-4.803;0.549;0.471;5.488;5.598;7.908;0.301;0.268;0.22;0.301;0.291;0.22;0.758;0.611;3.336;3.927;6.495;0.575;0.486;0.359;0.575;0.498;0.359
