Compuesto;Etiqueta;limInf;limSup
pH;Extremadamente_Acido;-1000000;5.5
pH;Moderadamente_Acido;5.5;6
pH;Adecuado;6;6.5
pH;Neutro;6.5;7.3
pH;Alcalino;7.3;8
pH;Muy_alcalino;8;1000000
OM;Bajo;-1000000;3
OM;Medio;3;5
OM;Alto;5;1000000
Ca;Bajo;-1000000;3
Ca;Medio;3;6
Ca;Alto;6;1000000
Mg;Bajo;-1000000;1.5
Mg;Medio;1.5;2.5
Mg;Alto;2.5;1000000
K;Bajo;-1000000;0.2
K;Medio;0.2;0.4
K;Alto;0.4;1000000
Na;Bajo;-1000000;1
Na;Medio;1;1000000
pH_3Cat;Correccion_Acidez;-100000;6
pH_3Cat;Sin_Correccion;6;7.3
pH_3Cat;Correccion_Alcalinidad;7.3;1000000
